X_1,X_2,X_3,X_4,X_5,X_6,X_7,Actual_Y_1,Actual_Y_2,Actual_Y_3,Actual_Y_4,Actual_Y_5,Actual_Y_6,Actual_Y_7,Actual_Y_8,Actual_Y_9,Actual_Y_10,Predicted_Y_1,Predicted_Y_2,Predicted_Y_3,Predicted_Y_4,Predicted_Y_5,Predicted_Y_6,Predicted_Y_7,Predicted_Y_8,Predicted_Y_9,Predicted_Y_10,Error_Y_1 (%),Error_Y_2 (%),Error_Y_3 (%),Error_Y_4 (%),Error_Y_5 (%),Error_Y_6 (%),Error_Y_7 (%),Error_Y_8 (%),Error_Y_9 (%),Error_Y_10 (%)
74.0,12.7,1.29,0.64,17.4,38.0,47.0,0.24683499336242676,0.5220990180969238,0.27526402473449707,34.70000076293945,60.79999923706054,97.0999984741211,0.28437724709510803,47.299999237060554,0.8697230219841003,79524.0,0.25517818331718445,0.5543248057365417,0.26741233468055725,34.93061447143555,59.84235763549805,93.35221099853516,0.3045659065246582,45.81561279296875,0.8849789500236511,32320.68359375,3.3800677290952095,6.172351703912885,2.852421438476416,0.664592805261248,1.5750684433870257,3.85971939699339,7.099252712998593,3.1382377759717923,1.7541133963255808,59.3573215711609
73.0,12.409999999999998,1.29,0.64,19.7,45.0,47.99999999999999,0.24838300049304962,0.5368409752845764,0.288457989692688,35.29999923706055,60.20000076293945,96.5,0.30377763509750366,50.0,0.9329580068588257,79662.0,0.2560688257217407,0.5549169778823853,0.26868337392807007,35.060791015625,59.95076370239258,94.06588745117188,0.30507975816726685,46.17351531982422,0.8826959133148193,32722.068359375,3.094344304334213,3.367105610414117,6.855284468176816,0.6776437014321757,0.4140150454953337,2.522396423656088,0.42864349422736153,7.6529693603515625,5.387390769412407,58.9238678926276
73.0,12.409999999999998,1.29,0.64,19.0,44.0,47.99999999999999,0.2933099865913391,0.7026000022888184,0.2614949941635132,31.399999618530273,54.79999923706055,93.80000305175781,0.35813307762145996,32.0,0.8153449892997741,67327.0,0.25768399238586426,0.5581691265106201,0.27254968881607056,35.338687896728516,60.61333465576172,95.82744598388672,0.30717575550079346,46.78044128417969,0.8864863514900208,34305.796875,12.146192026905512,20.556628993409383,4.2274976191876386,12.543593395058133,10.608276459189597,2.161452949004901,14.228599731446042,46.18887901306152,8.725308074971254,49.04600401770464
79.0,12.7,1.29,0.64,17.0,39.0,45.0,0.34020599722862244,0.736598014831543,0.39639201760292053,34.099998474121094,58.099998474121094,95.0,0.46042194962501526,48.79999923706055,1.254830002784729,67199.0,0.2570151388645172,0.5566321015357971,0.2728479206562042,35.310237884521484,60.617095947265625,96.06584167480469,0.30855706334114075,46.88900375366211,0.8925925493240356,34482.58203125,24.453084026087872,24.43203886951872,31.167150563176744,3.549089338871543,4.332353768074016,1.1219386050575657,32.983850228591166,3.915974412448671,28.867452376562007,48.685870278947604
77.0,12.7,1.29,0.64,17.0,39.0,45.0,0.2392,0.4983000000000001,0.2263,36.8,64.1,97.1,0.266,47.599999999999994,0.762,59907.00000000001,0.25658488273620605,0.5559943914413452,0.2724379897117615,35.279563903808594,60.46449279785156,96.1507797241211,0.30952519178390503,46.97086715698242,0.8946534395217896,34000.11328125,7.267927565303537,11.578244318953468,20.38797601049999,4.131619826607075,5.671618100075557,0.9775698000812572,16.36285405409963,1.3217076533982617,17.408587863751908,43.245174551805306
77.0,12.4,1.25,0.65,18.4,40.0,60.0,0.2405,0.4866,0.2412,36.5,62.6,98.0,0.242,56.6,0.857,59777.99999999999,0.25788256525993347,0.558773934841156,0.27340224385261536,35.317405700683594,60.610694885253906,96.21672821044922,0.3090381622314453,46.836334228515625,0.8964232802391052,33416.25390625,7.227677862758204,14.832292404676537,13.350847368414328,3.239984381688784,3.1778036976774686,1.819665091378348,27.701719930349306,17.25029288248123,4.600149386126633,44.09941131143564
76.0,12.4,1.25,0.65,18.4,40.0,60.0,0.3540210127830506,0.8643590211868286,0.4586549997329712,35.900001525878906,61.70000076293946,96.80000305175781,0.4823332726955414,52.400001525878906,1.2288000583648682,76378.0,0.25901249051094055,0.5623107552528381,0.2746365964412689,35.34739685058594,60.897708892822266,96.1751708984375,0.3081948459148407,46.615684509277344,0.8980022668838501,33377.3828125,26.836972620699406,34.94476930653838,40.121311966257366,1.5392887236916069,1.3003109565585238,0.6454877413446177,36.10334112086446,11.038772610998587,26.920391908281804,56.29974231781403
77.0,12.7,1.29,0.64,17.6,37.0,46.0,0.2676039934158325,0.5472139716148376,0.27153003215789795,36.5,62.29999923706055,96.5,0.30453330278396606,46.099998474121094,0.8776779770851135,76237.0,0.2592298984527588,0.5650086998939514,0.27559995651245117,35.39509582519531,60.891761779785156,96.54914093017578,0.3079479932785034,46.599796295166016,0.8991841077804565,33260.55078125,3.1292862472575815,3.2518775473881316,1.4988855273977624,3.0271347254922945,2.2604132817351132,0.0509232437054728,1.1212863957147283,1.0841601683034559,2.4503441190090887,56.372167344924385
75.0,12.7,1.29,0.64,17.6,38.0,46.0,0.245,0.5171,0.2625,35.6,61.400000000000006,96.2,0.295,48.8,0.91,78442.0,0.26000115275382996,0.5686717629432678,0.27805089950561523,35.55573654174805,61.12881088256836,97.64388275146484,0.3094032108783722,46.809268951416016,0.9011022448539734,33229.6015625,6.122919491359167,9.97326686197405,5.924152192615323,0.12433555688751276,0.4416760870222252,1.5009176210653232,4.882444365549901,4.0793669028360275,0.9777752907721584,57.63799805907549
70.0,12.4,1.25,0.65,21.999999999999996,54.99999999999999,71.0,0.24029999999999999,0.5017,0.2614,35.9,62.6,97.1,0.277,40.7,0.8920000000000001,77605.0,0.2595279812812805,0.5681349635124207,0.27731871604919434,35.49800491333008,61.17247772216797,96.96598815917969,0.3081565201282501,46.747371673583984,0.8950299024581909,33262.49609375,8.001656796204966,13.241970004468929,6.089791908643578,1.119763472618163,2.280387025290787,0.13801425419187108,11.247841201534332,14.858407060402904,0.339675163474304,57.13872032246634
