X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,Actual_Y_1,Actual_Y_2,Actual_Y_3,Actual_Y_4,Actual_Y_5,Actual_Y_6,Actual_Y_7,Actual_Y_8,Actual_Y_9,Actual_Y_10,Predicted_Y_1,Predicted_Y_2,Predicted_Y_3,Predicted_Y_4,Predicted_Y_5,Predicted_Y_6,Predicted_Y_7,Predicted_Y_8,Predicted_Y_9,Predicted_Y_10,Error_Y_1 (%),Error_Y_2 (%),Error_Y_3 (%),Error_Y_4 (%),Error_Y_5 (%),Error_Y_6 (%),Error_Y_7 (%),Error_Y_8 (%),Error_Y_9 (%),Error_Y_10 (%)
32.11,50.0,52.0,76.0,256.0,12.7,1.29,0.64,318.0,29.0,17.1,38.0,4161.0,18.1,47.0,0.2534799873828888,0.540677011013031,0.2871970236301422,35.0,62.0,97.0999984741211,0.31137678027153015,47.299999237060554,0.90665602684021,73863.0,0.25864915817976,0.557896592617035,0.2755357810854912,35.91499923706055,61.79000019073486,96.98899940490719,0.3170429459214211,45.481999397277825,0.8577338594198225,57528.09000000001,2.0392816214966114,3.184818524416406,4.060363299470881,2.6142835344587114,0.33870936978248684,0.11431418224325393,1.8197136102922975,3.8435515203101476,5.395890610343845,22.115145607408294
32.66,51.0,52.0,77.0,256.0,12.7,1.29,0.64,310.0,27.999999999999996,17.4,38.0,4330.0,18.1,47.0,0.27033600211143494,0.5661290287971497,0.2957930266857147,35.599998474121094,61.099998474121094,95.30000305175781,0.3025550842285156,51.5,0.9450139999389648,73994.0,0.2582996581494808,0.5560325154662132,0.2777266398072243,35.86399951934815,61.714999885559074,97.0639994049072,0.3187968829274178,45.88999954223633,0.8579906821250914,56169.440000000024,4.452364416113783,1.7834297160822874,6.107779848943596,0.7415760015241748,1.00654898002733,1.8509929660666926,5.368212119230158,10.893204772356638,9.208680275582577,24.089196421331426
32.79,47.0,49.0,76.0,258.0,12.4,1.25,0.65,322.0,33.0,18.4,40.0,20730.0,24.3,61.0,0.2654,0.5539,0.2618,36.2,61.400000000000006,97.4,0.289,53.6,0.9320000000000002,59093.99999999999,0.25207024935293193,0.5351908278999328,0.25856365921449664,35.84899959564209,62.2729999923706,96.97999999999998,0.2798954128313064,48.569000381469735,0.8740214779520035,48306.89000000002,5.022513431449922,3.3777165734008263,1.2361882297568119,0.9696143766793137,1.4218240918087859,0.4312114989733369,3.150376182938947,9.386193318153483,6.220871464377327,18.254154398077592
32.79,43.0,47.0,71.0,260.0,12.4,1.25,0.65,317.0,33.0,18.4,40.0,24231.0,24.3,61.0,0.2392,0.5093,0.2701,35.0,60.8,97.1,0.276,56.0,0.9629999999999999,56433.0,0.2522917340381145,0.5353001066675186,0.2654180134620667,35.58799940490723,61.51400001525877,96.5419999542236,0.2869754567313194,47.867000679016115,0.8886301371622086,27585.800000000003,5.4731329590779705,5.105067085709527,1.7334270780945134,1.6799982997349412,1.174342130359829,0.5746653406554025,3.9766147577244157,14.52321307318551,7.722727189801791,51.11760849148548
34.75,49.0,51.0,75.0,258.0,12.7,1.29,0.64,310.0,27.999999999999996,17.0,39.0,10468.0,19.7,45.0,0.2757749855518341,0.6099979877471924,0.3342230021953583,34.400001525878906,58.400001525878906,95.0,0.4179112911224365,45.79999923706055,1.0170999765396118,66536.0,0.2751950013637543,0.6277790963649751,0.28938740372657773,34.219999656677246,56.140999374389665,88.54999946594235,0.3542714396119119,42.26600021362306,0.9167191588878629,47572.79000000002,0.21031065849545472,2.9149454547302387,13.414875150506091,0.5232612244689769,3.8681542679210463,6.789474246376474,15.228076594819717,7.7161552015438435,9.869316681459924,28.50067632559814
34.75,51.0,52.0,76.0,256.0,12.7,1.29,0.64,305.0,27.999999999999996,17.0,39.0,10385.0,19.7,45.0,0.2718130052089691,0.5806459784507751,0.30883297324180603,35.0,60.20000076293945,98.30000305175781,0.3467777371406555,48.5,0.9350910186767578,66799.0,0.27459422051906585,0.6294261974096299,0.2847051540017128,34.02799962997437,55.10899932861329,86.36899944305416,0.35550673097372054,41.64200008392334,0.9075197857618331,47866.77000000003,1.0232090653493708,8.401025886548899,7.812578749873943,2.7771439143589505,8.456812906654159,12.137337984029998,2.5171724993189173,14.140206012529191,2.9485079381834502,28.3420859593706
32.82,42.0,46.0,72.0,260.0,12.409999999999998,1.29,0.64,323.0,34.0,19.5,45.0,91.0,21.0,47.99999999999999,0.25972598791122437,0.5278949737548828,0.26278501749038696,35.0,61.099998474121094,96.19999694824219,0.27702242136001587,38.0,0.8725910186767578,78895.0,0.254429190158844,0.5385936319828033,0.275573142170906,34.58600021362304,59.725999946594236,95.7229997253418,0.31820321738719937,43.67900051116943,0.8929699099063876,22207.749999999996,2.0393791915003963,2.0266641585582117,4.866382719474046,1.1828565325056062,2.248770150311567,0.49583912477360004,14.865510100233115,14.944738187287964,2.335445906896151,71.85151150263009
32.05,46.0,49.0,71.0,259.0,12.409999999999998,1.29,0.64,317.0,35.1,19.7,45.0,11.0,21.0,47.99999999999999,0.24164600670337677,0.5181840062141418,0.27653801441192627,35.29999923706055,60.79999923706054,96.19999694824219,0.3067336082458496,50.29999923706055,0.8590329885482788,79093.0,0.2532339204847812,0.5373177927732468,0.2734189516305923,34.64600011825561,59.44099998474121,95.33299957275388,0.3155596393346786,44.65700046539307,0.9061041092872619,23467.969999999998,4.795408763211528,3.69246953392031,1.1278965707361468,1.8526887618692165,2.2351961667311224,0.9012447016550061,2.877425509158707,11.218685600913037,5.479547510571261,70.32863843829415
34.01,52.0,54.0,78.0,258.0,12.4,1.25,0.65,321.0,33.0,18.4,40.0,20787.0,24.5,61.0,0.2241,0.4590000000000001,0.2349,35.6,61.7,95.6,0.262,49.1,0.822,59637.0,0.24942739460182187,0.5285971486835479,0.25912811451816564,35.78599974060059,62.29400000000002,96.85999999999997,0.2766602445268631,48.27800025939941,0.8793664087438583,49137.389999999985,11.301827131558177,15.162777490969024,10.314224997090525,0.5224711814623202,0.9627228525121805,1.317991631799139,5.5955131781920215,1.6741338912435615,6.9788818423185335,17.605865486191483
34.01,49.0,52.0,74.0,257.0,12.4,1.25,0.65,309.0,33.0,18.4,40.0,20899.0,24.5,61.0,0.2695,0.5646,0.2747,35.3,62.29999999999999,96.2,0.245,46.7,1.018,59224.99999999999,0.25064374436759945,0.5335596479091644,0.26081706423473366,35.9839995880127,62.256,96.67699999999998,0.27941685895442964,48.63500041198731,0.8794937080049516,45380.080000000016,6.996755336697798,5.497759846056598,5.05385357308567,1.9376758867215398,0.07062600321025655,0.4958419958419703,14.047697532420262,4.143469832949273,13.605726129179605,23.376817222456697
